timestamp,region,daemon_ip,log_file,file,compression,source,fragments,bytes,time_ms,speed_KB_s
2026-03-17 05:56:19.590,ap-ne-3,2048,"download-2048-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",false,32.195.67.201:6001,3,1572864,23744,64
2026-03-17 05:56:19.590,ap-ne-3,2048,"download-2048-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",false,13.39.21.10:6000,12,6289685,23249,264
2026-03-17 05:56:19.590,ap-ne-3,2048,"download-2048-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",false,13.220.244.217:6002,4,2097152,28258,72
2026-03-17 05:15:55.935,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",false,13.39.21.10:6000,19,9959701,38000,255
2026-03-17 05:28:42.720,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",false,32.195.67.201:6001,3,1572864,36598,41
2026-03-17 05:28:42.720,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",false,13.39.21.10:6000,16,8386837,31287,261
2026-03-17 05:30:24.623,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,32.195.67.201:6001,22,2883584,71024,39
2026-03-17 05:30:24.623,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,13.39.21.10:6000,54,7076117,69444,99
2026-03-17 05:31:20.088,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,32.195.67.201:6001,8,2097152,46362,44
2026-03-17 05:31:20.088,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,13.39.21.10:6000,30,7862549,46477,165
2026-03-17 05:32:05.635,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,32.195.67.201:6001,3,1572864,37635,40
2026-03-17 05:32:05.635,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,13.39.21.10:6000,16,8386837,32375,252
2026-03-17 05:32:52.909,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,32.195.67.201:6001,1,1048576,31917,32
2026-03-17 05:32:52.909,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,13.39.21.10:6000,9,8911125,21368,407
2026-03-17 05:33:30.683,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,32.195.67.201:6001,1,2097152,30324,67
2026-03-17 05:33:30.683,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,13.39.21.10:6000,4,7862549,11253,682
2026-03-17 05:45:19.478,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",false,32.195.67.201:6001,3,1572864,23689,64
2026-03-17 05:45:19.478,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",false,13.39.21.10:6000,12,6289685,23700,259
2026-03-17 05:45:19.478,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",false,13.220.244.217:6002,4,2097152,28201,72
2026-03-17 05:51:44.468,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",false,32.195.67.201:6001,3,1572864,23647,64
2026-03-17 05:51:44.468,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",false,13.39.21.10:6000,12,6289685,23752,258
2026-03-17 05:51:44.468,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",false,13.220.244.217:6002,4,2097152,28199,72
2026-03-17 05:52:55.153,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,32.195.67.201:6001,20,2621440,43459,58
2026-03-17 05:52:55.153,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,13.39.21.10:6000,34,4454677,44452,97
2026-03-17 05:52:55.153,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,13.220.244.217:6002,22,2883584,43337,64
2026-03-17 05:54:36.752,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,32.195.67.201:6001,3,1572864,23370,65
2026-03-17 05:54:36.752,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,13.39.21.10:6000,12,6289685,24041,255
2026-03-17 05:54:36.752,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,13.220.244.217:6002,4,2097152,28186,72
2026-03-17 05:55:31.878,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,32.195.67.201:6001,1,1048576,15105,67
2026-03-17 05:55:31.878,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,13.39.21.10:6000,7,6813973,16366,406
2026-03-17 05:55:31.878,ap-ne-3,56.155.81.174,"download-56.155.81.174-Acclaim & Response - The Godfather, Best Picture 1972.mkv.log","Acclaim & Response - The Godfather, Best Picture 1972.mkv",true,13.220.244.217:6002,2,2097152,27640,74
2026-03-17 01:58:38.459,ap-ne-3,56.155.81.174,download-56.155.81.174-Before.Sunset.2004.720p.BrRip.x264.YIFY.mp4.log,Before.Sunset.2004.720p.BrRip.x264.YIFY.mp4,true,13.39.21.10:6000,72,18874368,105961,173
2026-03-17 05:27:03.201,ap-ne-3,56.155.81.174,download-56.155.81.174-The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4.log,The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4,false,13.39.21.10:6000,288,150994944,564852,261
2026-03-17 05:14:20.203,ap-ne-3,56.155.81.174,download-56.155.81.174-test-large.bin.log,test-large.bin,false,13.39.21.10:6000,100,52428800,197970,258
2026-03-17 05:40:47.929,ap-ne-3,56.155.81.174,download-56.155.81.174-test-large.bin.log,test-large.bin,false,32.195.67.201:6001,20,10485760,157755,64
2026-03-17 05:40:47.929,ap-ne-3,56.155.81.174,download-56.155.81.174-test-large.bin.log,test-large.bin,false,13.39.21.10:6000,80,41943040,156946,260
2026-03-17 05:44:45.526,ap-ne-3,56.155.81.174,download-56.155.81.174-test-large.bin.log,test-large.bin,false,32.195.67.201:6001,11,5767168,148359,37
2026-03-17 05:44:45.526,ap-ne-3,56.155.81.174,download-56.155.81.174-test-large.bin.log,test-large.bin,false,13.39.21.10:6000,76,39845888,149542,260
2026-03-17 05:44:45.526,ap-ne-3,56.155.81.174,download-56.155.81.174-test-large.bin.log,test-large.bin,false,13.220.244.217:6002,13,6815744,156872,42
2026-03-17 05:50:13.902,ap-ne-3,56.155.81.174,download-56.155.81.174-test-large.bin.log,test-large.bin,true,32.195.67.201:6001,89,11665408,272455,41
2026-03-17 05:50:13.902,ap-ne-3,56.155.81.174,download-56.155.81.174-test-large.bin.log,test-large.bin,true,13.39.21.10:6000,209,27394048,271357,98
2026-03-17 05:50:13.902,ap-ne-3,56.155.81.174,download-56.155.81.174-test-large.bin.log,test-large.bin,true,13.220.244.217:6002,102,13369344,272483,47
2026-03-17 05:10:49.826,ap-ne-3,56.155.81.174,download-56.155.81.174-test-medium.bin.log,test-medium.bin,false,13.39.21.10:6000,10,5242880,19982,256
2026-03-17 05:37:59.358,ap-ne-3,56.155.81.174,download-56.155.81.174-test-medium.bin.log,test-medium.bin,false,32.195.67.201:6001,1,524288,15885,32
2026-03-17 05:37:59.358,ap-ne-3,56.155.81.174,download-56.155.81.174-test-medium.bin.log,test-medium.bin,false,13.39.21.10:6000,9,4718592,17287,266
2026-03-17 05:41:52.608,ap-ne-3,56.155.81.174,download-56.155.81.174-test-medium.bin.log,test-medium.bin,false,32.195.67.201:6001,2,1048576,23089,44
2026-03-17 05:41:52.608,ap-ne-3,56.155.81.174,download-56.155.81.174-test-medium.bin.log,test-medium.bin,false,13.39.21.10:6000,6,3145728,11554,265
2026-03-17 05:41:52.608,ap-ne-3,56.155.81.174,download-56.155.81.174-test-medium.bin.log,test-medium.bin,false,13.220.244.217:6002,2,1048576,20680,49
2026-03-17 05:10:03.073,ap-ne-3,56.155.81.174,download-56.155.81.174-test-small.txt.log,test-small.txt,false,13.39.21.10:6000,1,1051,711,1
2026-03-17 05:37:32.858,ap-ne-3,56.155.81.174,download-56.155.81.174-test-small.txt.log,test-small.txt,false,32.195.67.201:6001,1,1051,507,2
2026-03-17 05:41:09.853,ap-ne-3,56.155.81.174,download-56.155.81.174-test-small.txt.log,test-small.txt,false,32.195.67.201:6001,1,1051,317,3
